Number of samples:   11392
Sample interval:     0.01 seconds
Total sampling time: 113.92 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "repl-thread" RUNNING {1008AD1BC3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 239      8   0.1     56   0.5   9082  79.7        -  (SB-PCL::FAST-METHOD TREF (MATRIX))
 240      8   0.1     43   0.4   9090  79.8        -  SB-C::FIND-DFO-AUX
 241      8   0.1     43   0.4   9098  79.9        -  SB-KERNEL:TYPES-EQUAL-OR-INTERSECT
 242      8   0.1     37   0.3   9106  79.9        -  SB-C::COMPUTE-BLOCK-IN
 243      8   0.1     33   0.3   9114  80.0        -  SB-C::DEBUG-NAME
 244      8   0.1     29   0.3   9122  80.1        -  SB-C::REFERENCE-CONSTANT
 245      8   0.1     28   0.2   9130  80.1        -  SB-C::SSET-UNION-OF-DIFFERENCE
 246      8   0.1     24   0.2   9138  80.2        -  SB-C::CONSTANT-FOLD-CALL-P
 247      8   0.1     22   0.2   9146  80.3        -  SB-C::SSET-UNION
 248      8   0.1     19   0.2   9154  80.4        -  SB-IMPL::REHASH
 249      8   0.1     17   0.1   9162  80.4        -  SB-C::DELETE-LVAR-USE
 250      8   0.1     14   0.1   9170  80.5        -  CL-QUIL.CLIFFORD::INCURRED-PHASE-FROM-ROW-PRODUCT
 251      8   0.1     13   0.1   9178  80.6        -  SB-INT:VALID-FUNCTION-NAME-P
 252      8   0.1     12   0.1   9186  80.6        -  FIND
 253      8   0.1     12   0.1   9194  80.7        -  SB-KERNEL:%COERCE-CALLABLE-TO-FUN
 254      8   0.1     12   0.1   9202  80.8        -  VALID-SHAPE-P
 255      8   0.1     10   0.1   9210  80.8        -  POSITION
 256      8   0.1     10   0.1   9218  80.9        -  SB-KERNEL::TYPE-UNION2
 257      8   0.1      9   0.1   9226  81.0        -  SB-C::LEADING-COMPONENT-BLOCKS
 258      8   0.1      9   0.1   9234  81.1        -  SB-KERNEL:TWO-ARG-<
 259      8   0.1      8   0.1   9242  81.1        -  SB-INT:MAKE-SSET
 260      8   0.1      8   0.1   9250  81.2        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "SYS:SRC;PCL;DLISP3.LISP")
 261      8   0.1      8   0.1   9258  81.3        -  (LAMBDA (SB-KERNEL:INSTANCE) :IN SB-PCL::MAKE-OPTIMIZED-STD-READER-METHOD-FUNCTION)
 262      8   0.1      8   0.1   9266  81.3        -  SB-KERNEL:%%TYPEP
 263      8   0.1      8   0.1   9274  81.4        -  SB-KERNEL:HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
 264      8   0.1      8   0.1   9282  81.5        -  SB-C::MAKE-BIND
 265      8   0.1      8   0.1   9290  81.5        -  EQUAL
 266      8   0.1      8   0.1   9298  81.6        -  SB-C::PROPAGATE-LVAR-ANNOTATIONS
 267      8   0.1      8   0.1   9306  81.7        -  SB-KERNEL:TYPE-SPECIFIER
 268      8   0.1      8   0.1   9314  81.8        -  REMOVE
 269      8   0.1      8   0.1   9322  81.8        -  SB-C::LAMBDA-VAR-REF-LVAR
 270      8   0.1      8   0.1   9330  81.9        -  SB-KERNEL:COERCE-TO-VALUES
 271      8   0.1      8   0.1   9338  82.0        -  NCONC
 272      8   0.1      8   0.1   9346  82.0        -  SB-REGALLOC::GROW-SC
 273      8   0.1      8   0.1   9354  82.1        -  SB-C::SUBSTITUTE-LET-FUNARGS
 274      8   0.1      8   0.1   9362  82.2        -  SB-KERNEL::MAYBE-REPARSE-SPECIFIER
 275      7   0.1    350   3.1   9369  82.2        -  SB-C::FIND-BLOCK-TYPE-CONSTRAINTS
 276      7   0.1    260   2.3   9376  82.3        -  (LAMBDA (SB-C::ARG SB-C::VAR TYPE) :IN SB-C::PROPAGATE-LET-ARGS)
 277      7   0.1    174   1.5   9383  82.4        -  (LAMBDA (SB-C::ARG TYPE SB-C::LVARS &OPTIONAL SB-C::ANNOTATION) :IN SB-C::ASSERT-CALL-TYPE)
 278      7   0.1    111   1.0   9390  82.4        -  SB-REGALLOC::INSERT-BLOCK-LOCAL-CONFLICTS
 279      7   0.1     68   0.6   9397  82.5        -  SB-C::INSERT-CAST-BEFORE
 280      7   0.1     29   0.3   9404  82.5        -  SB-C::UPDATE-UVL-LIVE-SETS
