Number of samples:   11203
Sample interval:     0.01 seconds
Total sampling time: 112.03 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "repl-thread" RUNNING {1008AD1BC3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 237      8   0.1     20   0.2   8877  79.2        -  SB-C::PROCESS-IGNORE-DECL
 238      8   0.1     19   0.2   8885  79.3        -  SB-C::ADD-REPRESENTATION-COSTS
 239      8   0.1     17   0.2   8893  79.4        -  SB-IMPL::HASH-TABLE-NEW-VECTORS
 240      8   0.1     16   0.1   8901  79.5        -  SB-REGALLOC::PACK-LOAD-TNS
 241      8   0.1     15   0.1   8909  79.5        -  SB-C::UPDATE-LVAR-DEPENDENCIES
 242      8   0.1     13   0.1   8917  79.6        -  SB-C::FIND-IN-BINDINGS
 243      8   0.1      9   0.1   8925  79.7        -  SB-C::LVAR-FUN-IS
 244      8   0.1      8   0.1   8933  79.7        -  SB-KERNEL:CLASSOID-TYPEP
 245      8   0.1      8   0.1   8941  79.8        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "SYS:SRC;PCL;BRAID.LISP")
 246      8   0.1      8   0.1   8949  79.9        -  SB-IMPL::ALLOC-HASH-CACHE-LINE/5
 247      8   0.1      8   0.1   8957  80.0        -  SB-C::%USE-CTRAN
 248      8   0.1      8   0.1   8965  80.0        -  SB-C::LINK-NODE-TO-PREVIOUS-CTRAN
 249      8   0.1      8   0.1   8973  80.1        -  SB-KERNEL:%WITH-ARRAY-DATA/FP
 250      8   0.1      8   0.1   8981  80.2        -  (LABELS SB-C::PROBABLY-LL-KEYWORD-P :IN SB-INT:PARSE-LAMBDA-LIST)
 251      8   0.1      8   0.1   8989  80.2        -  SB-C::USE-LVAR
 252      8   0.1      8   0.1   8997  80.3        -  SB-KERNEL:COERCE-TO-VALUES
 253      8   0.1      8   0.1   9005  80.4        -  SB-C::MAKE-ALMOST-NULL-LEXENV
 254      8   0.1      8   0.1   9013  80.5        -  SB-C::RESET-CURRENT-CONFLICT
 255      8   0.1      8   0.1   9021  80.5        -  SB-C::UNCONVERT-TAIL-CALLS
 256      8   0.1      8   0.1   9029  80.6        -  SB-C::PROPAGATE-LVAR-ANNOTATIONS
 257      8   0.1      8   0.1   9037  80.7        -  SB-IMPL::ALLOC-HASH-CACHE-LINE/2
 258      8   0.1      8   0.1   9045  80.7        -  SB-C::AVER-LIVE-COMPONENT
 259      7   0.1   2049  18.3   9052  80.8        -  SB-C::TRANSFORM-CALL
 260      7   0.1   1643  14.7   9059  80.9        -  SB-C::IR1-CONVERT-SPECIAL-BINDINGS
 261      7   0.1    408   3.6   9066  80.9        -  SB-C::PROPAGATE-LET-ARGS
 262      7   0.1    332   3.0   9073  81.0        -  SB-C::FIND-BLOCK-TYPE-CONSTRAINTS
 263      7   0.1    251   2.2   9080  81.1        -  SB-C::ASSERT-CALL-TYPE
 264      7   0.1    158   1.4   9087  81.1        -  SB-KERNEL::FIXED-VALUES-OP
 265      7   0.1    100   0.9   9094  81.2        -  SB-KERNEL::SPECIFIER-TYPE-R
 266      7   0.1     89   0.8   9101  81.2        -  SB-C::TWO-ARG-DERIVE-TYPE
 267      7   0.1     70   0.6   9108  81.3        -  (SB-PCL::FAST-METHOD TREF (MATRIX))
 268      7   0.1     52   0.5   9115  81.4        -  (FLET SB-IMPL::INSERT-AT :IN SB-IMPL::GET-PUTHASH-DEFINITIONS)
 269      7   0.1     39   0.3   9122  81.4        -  SB-C::FIND-FREE-FUN
 270      7   0.1     38   0.3   9129  81.5        -  SB-C::IR1-CONVERT-SRCTRAN
 271      7   0.1     38   0.3   9136  81.5        -  SB-C::STRIP-LAMBDA-LIST
 272      7   0.1     37   0.3   9143  81.6        -  SB-KERNEL::%UPGRADED-ARRAY-ELEMENT-TYPE
 273      7   0.1     36   0.3   9150  81.7        -  SB-C::MAP-NESTED-CLEANUPS
 274      7   0.1     34   0.3   9157  81.7        -  (LABELS SB-C::PASS :IN SB-C::SELECT-REPRESENTATIONS)
 275      7   0.1     30   0.3   9164  81.8        -  SB-C::ADD-GLOBAL-CONFLICT
 276      7   0.1     21   0.2   9171  81.9        -  SB-KERNEL:CTYPEP
 277      7   0.1     17   0.2   9178  81.9        -  SB-C::DELETE-LVAR-USE
 278      7   0.1     12   0.1   9185  82.0        -  SB-C::FLUSH-DEST
 279      7   0.1      9   0.1   9192  82.0        -  (SB-PCL::FAST-METHOD SHAPE (MATRIX))
 280      7   0.1      8   0.1   9199  82.1        -  SB-C::PROPAGATE-LVAR-DX
 281      7   0.1      7   0.1   9206  82.2        -  SB-KERNEL:%COERCE-CALLABLE-TO-FUN
